@RELATION teste

@ATTRIBUTE A0	REAL
@ATTRIBUTE A1	REAL


@DATA
0.1878,0
0.1258,0
0.1263,0
0.1922,0
0.1146,0
0.1598,0
0.2257,0.1325
0.1469,0.2512
0.1375,0.1325
0.2194,0
0.165,0.1313
0.1882,0
0.1186,0.2663
0.1271,0
0.1726,0
0.1227,0
0.0941,0
0.1551,0
0.0849,0
0.1551,0
0.2302,0.1325
0.1956,0
0.159,0
0.1745,0
0.2989,0.1325
0.1862,0
0.2371,0
0.2795,0.1313
0.1808,0
0.1967,0
0.1763,0
0.325,0
0.0871,0
0.1353,0
0.1338,0
0.1398,0
0.1825,0
0.1415,0
0.1452,0
0.1746,0
0.1953,0
0.0945,0
0.1068,0
0.1123,0
0.1199,0
0.209,0
0.0944,0
0.0676,0
0.2525,0
0.1293,0
0.212,0
0.1434,0
0.153,0
0.1725,0
0.2444,0.1663
0.2423,0
0.1715,0
0.1927,0
0.159,0
0.0772,0
0.1052,0
0.1085,0
0.0835,0
0.1383,0
0.0887,0
0.148,0
0.0697,0
0.1274,0
0.0656,0
0.0485,0
0.1057,0
0.1095,0
0.2596,0
0.0957,0
0.0782,0
0.1383,0
0.0905,0
0.1248,0
0.1355,0
0.0545,0
0.1007,0
0.1392,0
0.1553,0
0.111,0
0.1273,0
0.0938,0.1313
0.0113,0
0.0748,0
0.1328,0
0.0882,0
0.0652,0
0.099,0
0.1667,0
0.16,0
0.163,0
0.1061,0.2588
0.1023,0
0.1069,0
0.1004,0
0.2149,0
0.1238,0
0.0115,0
0.2081,0
0.1197,0
0.136,0
0.1935,0.1325
0.0903,0
0.1842,0
0.1439,0
0.1137,0
0.1052,0
0.0646,0
0.1832,0
0.1654,0
0.1711,0
0.0621,0
0.0713,0
0.0962,0
0.1205,0
0.0806,0
0.144,0
0.0895,0
0.1215,0
0.0997,0
0.0757,0
0.0727,0
0.1291,0.1313
0.1785,0
0.1704,0
0.1526,0
0.1352,0
0.118,0
0.096,0
0.0436,0
0.1242,0
0.1583,0
0.1063,0
0.1608,0
0.1235,0
0.1308,0
0.1743,0.1313
0.1876,0
0.1514,0
0.1743,0.1313
0.1215,0
0.1415,0
0.2254,0
0.0582,0
0.1237,0.3988
0.1193,0
0.3237,0
0.0813,0
0.1373,0
0.1267,0
0.0872,0
0.0803,0
0.0048,0
0.1468,0
0.1308,0
0.0929,0.2613
0.0538,0
0.06,0
0.1173,0
0.1648,0.4263
0.1409,0
0.1907,0.1313
0.194,0
0.0845,0
0.1823,0
0.1451,0
0.1913,0
0.2265,0
0.1304,0
0.1153,0
0.1216,0
0.2335,0
0.2033,0.2613
0.1789,0
0.1292,0.2613
0.1804,0.2613
0.2103,0
0.0201,0
0.1159,0
0.0536,0.5
0.137,0
0.18,0
0.1718,0.2663
0.2615,0.1313
0.1387,0
0.0831,0.1313
0.1483,0.1313
0.1805,0
0.0927,0
0.3156,0
0.1568,0.2613
0.1818,0.2588
0.1381,0.1313
0.2838,0
0.2149,0
0.094,0
0.1377,0
0.2659,0.2613
0.243,0
0.18,0.2613
0.2196,0.1313
0.2511,0.5238
0.1483,0
0.2284,0.5325
0.1419,0
0.0527,0
0.114,0
0.114,0
0.1327,0
0.1824,0
0.2826,0
0.0766,0
0.0951,0
0.1505,0
0.1793,0
0.1398,0.1325
0.0968,0
0.2381,0
0.0668,0
0.1915,0
0.1826,0
0.1434,0
0.0876,0
0.106,0
0.0579,0
0.209,0
0.2366,0
0.1028,0
0.107,0
0.1283,0
0.1246,0.1325
0.1394,0
0.0611,0
0.0833,0
0.1722,0
0.1266,0
0.1439,0
0.0503,0
0.0576,0
0.1444,0
0.0686,0.2663
0.2571,0
0.2166,0
0.2058,0
0.1176,0
0.1376,0.1325
0.1662,0
0.2605,0
0.1175,0
0.0936,0
0.0706,0
0.1629,0
0.1213,0
0.1433,0
0.2337,0
0.0942,0.1325
0.1306,0
0.1409,0
0.1028,0
0.0884,0
0.0102,0
0.0687,0
0.1117,0
0.2161,0
0.1946,0.1663
0.1221,0
0.1433,0
0.1153,0
0.1071,0
0.0791,0.1663
0.1667,0
0.0273,0
0.1538,0
0.1517,0
0.2267,0
0.1137,0
0.1632,0
0.1786,0
0.1483,0
0.1025,0.2663
0.1176,0
0.4852,0
0.1305,0
0.2013,0
0.0785,0
0.1499,0
0.1036,0
0.226,0
0.1525,0
0.1485,0.1313
0.1046,0
0.1648,0
0.2074,0
0.1232,0
0.2268,0
0.0648,0
0.2125,0
0.0989,0
0.1249,0
0.1787,0
0.0332,0
0.1624,0
0.1164,0
0.1401,0
0.0983,0
0.1628,0
0.2014,0.2663
0.082,0
0.2294,0
0.1117,0
0.1588,0
0.1547,0
0.1743,0.1313
0.0115,0
0.2155,0
0.0492,0
0.2083,0
0.1468,0
0.1013,0
0.2288,0
0.1224,0
0.1079,0
0.1558,0
0.0192,0
0.244,0
0.3205,0
0.2003,0
0.0599,0
0.1346,0
0.1906,0
0.1252,0
0.0689,0
0.1071,0
0.1128,0
0.1395,0
0.1947,0
0.1519,0
0.1559,0
0.1955,0
0.1391,0
0.0996,0
0.2068,0
0.2185,0
0.1237,0
0.1673,0
0.1557,0
0.0983,0.1325
0.1634,0
0.1679,0
0.1467,0.1263
0.0083,0
0.242,0
0.22,0.1313
0.0801,0
0.2003,0
0.2509,0
0.102,0.1313
0.1806,0.1313
0.0956,0
0.2349,0
0.1209,0
0.146,0.2613
0.1856,0
0.1178,0.1325
0.3555,0
0.1081,0
0.0655,0
0.0851,0
0.2072,0
0.161,0
0.1523,0
0.0929,0
0.141,0
0.0992,0
0.0606,0
0.0905,0
0.2134,0
0.1015,0
0.1433,0
0.135,0
0.1491,0
0.077,0.2663
0.1085,0
0.1042,0
0.1613,0
0.1279,0.3988
0.1011,0
0.1707,0
0.0036,0
0.0822,0
0.1866,0.1325
0.1676,0
0.0807,0
0.2523,0
0.1649,0
0.2033,0
0.1683,1.3313
0.117,0
0.142,0
0.2403,0
0.0779,0
0.2345,0.2663
0.2027,0
0.1884,0.1325
0.1418,0.1325
0.0569,0
0.1414,0
0.0779,0
0.2264,0.1325
0.1218,0
0.0695,0.1313
0.0682,0
0.1632,0
0.2422,0
0.1,0
0.0998,0
0.141,0
0.1689,0
0.1586,0.1313
0.0975,0
0.0844,0
0.1767,0
0.1809,0
0.146,0
0.0778,0
0.1709,0
0.1073,0
0.1496,0
0.1937,0
0.0956,0
0.1402,0
0.0928,0
0.1307,0
0.1097,0
0.125,0
0.1205,0
0.0057,0
0.1029,0
0.1617,0
0.1273,0
0.0631,0
0.1682,0.1313
0.2307,0
0.1331,0
0.1307,0.1313
0.119,0
0.0988,0
0.1465,0.1313
0.1433,0
0.133,0
0.0564,0
0.0841,0
0.0388,0
0.1193,0
0.0863,0
0.1879,0
0.1983,0.1325
0.0705,0
0.0956,0.1325
0.1702,0
0.0872,0
0.1747,0.1325
0.1036,0
0.1301,0.5238
0.0361,0
0.0974,0
0.1307,0
0.0946,0
0.2077,0
0.2272,0
0.0445,0
0.0804,0
0.0506,0
0.1168,0
0.0703,0
0.1766,0
0.2319,0.1313
0.1703,0
0.0736,0
0.0555,0
0.0709,0
0.1116,0
0.0817,0
0.1162,0
0.1338,0
0.0834,0
0.0828,0
0.0779,0.1663
0.1159,0
0.1011,0
0.0854,0
0.1304,0
0.1403,0
0.0905,0
0.0564,0
0.1118,1.6975
0.1269,0.1263
0.1078,0
0.0637,0
0.0916,0
0.1074,0
0.1499,0
0.111,0
0.1008,0
0.1178,0
0.1682,0
0.047,0
0.1024,0
0.1502,0
0.2721,0.4313
0.165,0
0.1444,0
0.168,0
0.1751,0
0.1087,0
0.1207,0
0.1518,0.4338
0.1087,0
0.1898,0
0.0457,0
0.1708,0
0.1277,0.1663
0.1857,0
0.1288,0.4825
0.1103,0
0.0721,0
0.0834,0
0.1036,0
0.2216,0
0.1195,0
0.1867,0
0.0751,0
0.3427,0.3825
0.1101,1.4625
0.1306,0
0.1269,0
0.0677,0.1325
0.0732,0
0.0978,0.4425
0.1497,0
0.1071,0
0.1634,0
0.1126,0
0.211,0
0.1703,0
0.135,0
0.1156,0.1263
0.0829,0
0.1776,0.6075
0.1469,0
0.1008,0
0.1992,0.1263
0.0776,0.795
0.0959,1.3825
0.1439,0
0.1924,0.18
0.0483,0
0.1395,0
0.097,0
0.1339,0
0.1761,0
0.2285,0
0.1602,0
0.1298,0
0.0363,0
0.0847,0
0.1477,0
0.1316,0
0.1196,0
0.0936,0
0.0886,0
0.0497,0
0.1676,0
0.0753,0
0.1749,0
0.147,0.6075
0.0761,0
0.1932,0
0.0905,0
0.1242,0.7413
0.1757,0.1763
0.0813,0
0.1065,0
0.1109,0
0.1041,0
0.1017,0
0.1106,0
0.1432,0.3875
0.1137,0
0.0313,0
0.1487,0
0.0079,0
0.1473,0
0.0986,0
0.1219,0.1263
0.132,0
0.09,0
0.1412,1.5213
0.1427,0
0.1077,0
0.07,0
0.1437,1.11
0.1386,0
0.1305,0
0.1096,0.1263
0.1017,0
0.008,0
0.0875,0
0.1052,0
0.138,0
0.1296,0.1325
0.0886,0
0.0287,0.1263
0.1723,0
0.0326,0
0.0957,0
0.1376,0.1763
0.1497,0.3063
0.1341,0
0.0701,0
0.1328,0
0.1546,0
0.0619,0
0.1146,0
0.0748,0
0.0888,0
0.1196,0.1263
0.0371,0.1313
0.0837,0
0.0751,0.1313
0.1285,0.3075
0.0401,0
0.1224,0.1263
0.18,2.5375
0.1487,0.1325
0.1477,0
0.1747,0.6925
0.169,0.1263
0.1815,0
0.1286,0
0.0961,0
0.1026,0
0.1134,0
0.0673,0
0.2196,0
0.12,0
0.1232,0
0.1326,0.4825
0.1784,0
0.1499,0.3562
0.0878,0
0.1544,0
0.1615,1.105
0.1359,2.4875
0.1679,6.5638
0.064,0
0.096,1.135
0.0791,2.2825
0.1611,0
0.087,0
0.0431,0.2613
0.1241,0.1263
0.1119,0.9313
0.1241,0
0.1025,0
0.0728,0
0.0098,0
0.0849,0
0.108,0.18
0.1198,0
0.0629,0
0.0649,0
0.1068,0
0.1634,0
0.1953,0
0.0771,0
0.1158,0
0.0647,0.1263
0.0776,0.1263
0.0839,1.435
0.1661,1.5725
0.0977,0.18
0.1464,1.8825
0.0838,0.4263
0.1528,0
0.1096,0.1325
0.1188,0
0.1181,0
0.1139,0
0.1233,0
0.1393,0
0.0675,0.1263
0.1082,0
0.0919,0
0.1008,0
0.1558,0




===,Clustering,stats,for,training,data,===

Clustered,Instances
368,(,98%)
8,(,2%)

@RELATION,teste



@DATA
